Hours_Studied,Attendance,Sleep_Hours,Internet_Hours,Parental_Education,School_Type,Location,Score
2,85,7,2,Bachelor,Public,Mumbai,55
4,90,6,1.5,Master,Private,Delhi,70
3,80,6.5,3,High School,Public,Bangalore,60
5,95,8,1,Bachelor,Private,Mumbai,82
6,92,7.5,2.5,Master,Private,Pune,88
1,75,5,4,High School,Public,Delhi,45
2.5,85,6.2,3,Bachelor,Public,Chennai,58
4.5,90,7,2,Master,Private,Hyderabad,73
3.5,78,5.5,2.5,High School,Public,Bangalore,52
6,97,8,1,Bachelor,Private,Mumbai,90
5.5,89,6.5,1.5,Master,Private,Delhi,84
2,70,6,3.5,High School,Public,Chennai,48
3,88,7.2,2,Bachelor,Public,Pune,66
4,93,7.8,1.2,Master,Private,Mumbai,76
1.5,60,5.5,4.5,High School,Public,Bangalore,40
2.2,82,6.5,3,Bachelor,Public,Delhi,57
5.3,91,7.1,2.2,Master,Private,Hyderabad,79
3.1,75,6.8,2.7,High School,Public,Chennai,53
4.7,89,7.3,1.8,Bachelor,Private,Pune,74
6.2,96,8,1.1,Master,Private,Mumbai,92
2.8,80,6,3.2,High School,Public,Delhi,56
3.7,86,6.9,2,Bachelor,Public,Bangalore,68
4.1,92,7.4,1.6,Master,Private,Chennai,77
1.9,65,5.2,4,High School,Public,Hyderabad,42
2.4,83,6.4,3.1,Bachelor,Public,Mumbai,60
5.8,94,7.9,1.3,Master,Private,Pune,85
3.3,79,6.7,2.4,High School,Public,Delhi,59
4.6,90,7.2,2,Bachelor,Private,Bangalore,72
6.5,98,8.2,1,Master,Private,Chennai,93
2.1,77,6.3,3.3,High School,Public,Hyderabad,51
